course_name,internship_role,government_department,sector,location_city,minimum_age,maximum_age,duration_months,stipend_per_month_inr,mode,minimum_percentage_required,skill_requirement,certificate_provided,pre_placement_offer_possibility,application_mode,stipend_bucket,duration_bucket
BCA,Legal Research Intern,Haryana Renewable Energy Department,social welfare,sonipat,19,27,2,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
Diploma Civil,Agriculture Field Intern,Haryana Public Works Department,healthcare,rohtak,19,29,1,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,very_short
LLB,HR Intern,Haryana Agriculture Department,healthcare,bhiwani,19,27,6,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
BA Political Science,Clinical Intern,Haryana Social Justice Department,it & digital,bhiwani,18,29,4,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
M.Ed,Water Resource Management Intern,Haryana Social Justice Department,energy,sonipat,19,30,6,12000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
ITI Electrician,Accounts Intern,Haryana Irrigation Department,education,panipat,18,28,6,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
ITI Electrician,Social Welfare Intern,Haryana Agriculture Department,infrastructure,rohtak,18,22,4,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
MBBS,Transport Operations Intern,Haryana Social Justice Department,education,faridabad,19,30,2,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
ITI Electrician,Electrical Maintenance Intern,Haryana Skill Development Mission,infrastructure,ambala,20,28,1,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
B.Tech Electrical,Public Policy Intern,Haryana Transport Department,it & digital,karnal,20,30,6,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
BSc Nursing,Social Welfare Intern,Haryana Agriculture Department,legal & judiciary,sonipat,20,24,6,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,medium
ITI Welder,HR Intern,Haryana Police Department,education,jind,18,29,3,10000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
BSc Agriculture,Hospital Administration Intern,Haryana Irrigation Department,social welfare,gurgaon,21,22,2,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,short
BSc Environmental Science,Banking Operations Intern,Haryana Transport Department,finance & accounts,sirsa,20,27,4,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Tech Civil,Police Administration Intern,Haryana Skill Development Mission,social welfare,gurgaon,19,26,6,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
MCA,HR Intern,Haryana Social Justice Department,agriculture,yamunanagar,21,23,3,0,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,short
LLM,Accounts Intern,Haryana Renewable Energy Department,agriculture,hisar,18,30,6,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
BSc Agriculture,Accounts Intern,Haryana Transport Department,social welfare,faridabad,18,24,2,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
BSc Nursing,Software Development Intern,Haryana Revenue Department,finance & accounts,karnal,19,28,3,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
B.Ed,Social Welfare Intern,Haryana Public Works Department,education,kaithal,19,22,1,8000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,very_short
BSc IT,Clinical Intern,Haryana Public Works Department,healthcare,hisar,20,28,4,15000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
M.Ed,Data Analyst Intern,Haryana Public Works Department,infrastructure,karnal,21,23,1,15000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,very_short
Diploma Mechanical,Legal Research Intern,Haryana Renewable Energy Department,agriculture,karnal,18,25,4,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
BSc Biotechnology,Hospital Administration Intern,Haryana Revenue Department,energy,sirsa,18,29,6,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
BCA,Agriculture Field Intern,Haryana Health Department,legal & judiciary,jind,20,22,3,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
B.Tech Civil,HR Intern,Haryana Public Works Department,healthcare,karnal,18,26,1,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,very_short
MCA,Software Development Intern,Haryana Transport Department,it & digital,faridabad,20,22,2,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
BSc Biotechnology,HR Intern,District Administration Office,agriculture,ambala,19,29,1,0,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,very_short
ITI Fitter,Data Analyst Intern,District Administration Office,education,ambala,21,30,6,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Com,Public Policy Intern,Haryana Skill Development Mission,social welfare,hisar,19,30,1,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,very_short
B.Tech Electrical,Agriculture Field Intern,Haryana IT Department,education,kaithal,21,26,3,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,short
M.Ed,HR Intern,Haryana Renewable Energy Department,social welfare,gurgaon,20,30,1,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,very_short
ITI Welder,Legal Research Intern,Haryana Social Justice Department,healthcare,ambala,18,25,6,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,medium
ITI Welder,Police Administration Intern,Haryana Health Department,it & digital,chandigarh,21,22,2,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
BSc Environmental Science,Social Welfare Intern,Haryana Social Justice Department,public administration,chandigarh,20,22,6,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
B.Tech Mechanical,Data Analyst Intern,Haryana Social Justice Department,healthcare,faridabad,21,29,4,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
LLB,Accounts Intern,Haryana Health Department,healthcare,gurgaon,21,26,4,20000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
MBA,Civil Site Intern,Haryana Agriculture Department,it & digital,jind,21,28,1,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,very_short
ITI Welder,Civil Site Intern,Haryana Police Department,infrastructure,panipat,19,22,3,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
B.Tech Mechanical,Water Resource Management Intern,Haryana Education Department,infrastructure,chandigarh,18,24,2,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
BA Economics,HR Intern,Haryana Agriculture Department,education,ambala,20,23,2,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
BSc Nursing,Social Welfare Intern,Haryana Women & Child Development,public administration,panipat,21,22,4,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
BSc Nursing,Data Analyst Intern,Haryana Police Department,public administration,sirsa,19,22,6,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
ITI Electrician,Police Administration Intern,Haryana Skill Development Mission,public administration,yamunanagar,20,25,3,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
Diploma Civil,HR Intern,Haryana Social Justice Department,healthcare,kaithal,18,23,1,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
B.Tech Electrical,Renewable Energy Intern,Haryana Public Works Department,education,faridabad,18,27,3,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
BSc Agriculture,Water Resource Management Intern,Haryana Irrigation Department,it & digital,chandigarh,20,26,3,20000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
LLM,Clinical Intern,Haryana Urban Local Bodies,infrastructure,karnal,21,26,6,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
MBBS,Clinical Intern,Haryana Urban Local Bodies,energy,bhiwani,21,26,2,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,short
LLB,Legal Research Intern,Haryana Revenue Department,public administration,ambala,19,29,3,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
LLM,Legal Research Intern,Haryana IT Department,education,karnal,20,24,1,15000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,very_short
BSc Environmental Science,Police Administration Intern,Haryana Agriculture Department,infrastructure,gurgaon,18,22,6,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
B.Tech Electrical,Data Analyst Intern,District Administration Office,education,panipat,20,26,2,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
LLM,Clinical Intern,Haryana Revenue Department,healthcare,karnal,21,27,6,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
ITI Welder,Transport Operations Intern,Haryana Education Department,agriculture,karnal,21,30,2,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
MCA,Police Administration Intern,Haryana Transport Department,healthcare,chandigarh,21,27,1,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
MCA,HR Intern,District Administration Office,legal & judiciary,chandigarh,20,25,6,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
MBBS,Clinical Intern,Haryana IT Department,healthcare,sonipat,20,26,2,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
MCA,Social Welfare Intern,Haryana Education Department,finance & accounts,rohtak,19,29,2,12000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
MCA,Public Policy Intern,Haryana Police Department,infrastructure,hisar,18,27,2,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
BSc Biotechnology,Transport Operations Intern,Haryana Renewable Energy Department,it & digital,bhiwani,18,30,2,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
BCA,Banking Operations Intern,Haryana Education Department,healthcare,sonipat,20,26,6,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
BSc IT,Police Administration Intern,Haryana Social Justice Department,infrastructure,chandigarh,21,24,3,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,short
MBA,Public Policy Intern,Haryana Social Justice Department,energy,bhiwani,21,26,4,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
LLM,Agriculture Field Intern,Haryana Social Justice Department,infrastructure,rohtak,18,23,2,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
BSc Nursing,Transport Operations Intern,Haryana Revenue Department,it & digital,karnal,20,23,2,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
D.Pharmacy,Accounts Intern,Haryana Public Works Department,education,bhiwani,18,24,6,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
BSc Biotechnology,Digital Governance Intern,Haryana Urban Local Bodies,infrastructure,faridabad,18,23,2,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,short
BSc Biotechnology,Junior Mechanical Intern,Haryana Public Works Department,agriculture,chandigarh,20,30,4,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
B.Tech Computer Science,Urban Planning Intern,Haryana Police Department,legal & judiciary,panipat,21,24,4,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
D.Pharmacy,Digital Governance Intern,Haryana Public Works Department,finance & accounts,bhiwani,21,23,1,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,very_short
MBBS,Digital Governance Intern,Haryana Police Department,energy,sonipat,19,30,2,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
BSc Biotechnology,Civil Site Intern,Haryana Irrigation Department,healthcare,yamunanagar,21,24,4,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
ITI Fitter,Banking Operations Intern,Haryana Skill Development Mission,it & digital,karnal,20,30,2,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
BCA,Junior Mechanical Intern,Haryana Agriculture Department,social welfare,gurgaon,21,26,3,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
MCA,Banking Operations Intern,Haryana Urban Local Bodies,legal & judiciary,faridabad,18,26,4,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
B.Tech Mechanical,Clinical Intern,Haryana Transport Department,infrastructure,sirsa,20,24,6,20000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
MBBS,Digital Governance Intern,Haryana IT Department,it & digital,jind,18,25,6,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
ITI Electrician,Social Welfare Intern,Haryana Social Justice Department,legal & judiciary,karnal,19,26,6,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
MBBS,Transport Operations Intern,Haryana Urban Local Bodies,infrastructure,hisar,18,26,6,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
B.Com,Legal Research Intern,Haryana Social Justice Department,public administration,rohtak,21,25,2,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
MCA,HR Intern,Haryana Transport Department,public administration,chandigarh,18,23,3,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
BSc Environmental Science,Legal Research Intern,Haryana Revenue Department,public administration,gurgaon,21,24,3,8000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
B.Pharmacy,Legal Research Intern,Haryana Urban Local Bodies,energy,chandigarh,20,23,3,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
BSc Nursing,Legal Research Intern,Haryana Irrigation Department,infrastructure,faridabad,20,23,6,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
MCA,Legal Research Intern,Haryana IT Department,energy,jind,20,29,6,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,medium
B.Pharmacy,Software Development Intern,Haryana Urban Local Bodies,healthcare,bhiwani,20,26,2,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
Diploma Civil,Police Administration Intern,District Administration Office,public administration,karnal,20,24,4,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
MBA,HR Intern,Haryana Agriculture Department,social welfare,hisar,18,25,1,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,very_short
B.Tech Mechanical,Banking Operations Intern,Haryana Women & Child Development,legal & judiciary,jind,20,22,1,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
LLB,Police Administration Intern,Haryana Urban Local Bodies,education,chandigarh,18,26,1,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
BA Economics,Civil Site Intern,Haryana Irrigation Department,agriculture,yamunanagar,18,28,6,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
B.Pharmacy,Civil Site Intern,Haryana Urban Local Bodies,finance & accounts,jind,19,30,1,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,very_short
Diploma Mechanical,Legal Research Intern,Haryana Police Department,legal & judiciary,faridabad,19,30,6,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
Diploma Mechanical,Police Administration Intern,Haryana Education Department,education,panipat,19,23,4,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
B.Tech Computer Science,Agriculture Field Intern,Haryana Women & Child Development,infrastructure,rohtak,19,27,4,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
B.Pharmacy,Legal Research Intern,Haryana Health Department,education,ambala,19,23,6,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
B.Com,Electrical Maintenance Intern,Haryana Police Department,it & digital,sonipat,19,25,3,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
B.Com,Banking Operations Intern,Haryana Education Department,energy,yamunanagar,19,26,4,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
MBBS,Agriculture Field Intern,Haryana Police Department,public administration,sirsa,19,24,4,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
LLB,Accounts Intern,Haryana IT Department,infrastructure,bhiwani,19,22,1,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,very_short
Diploma Civil,HR Intern,Haryana Urban Local Bodies,legal & judiciary,panipat,19,26,1,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
Diploma Civil,Water Resource Management Intern,District Administration Office,energy,yamunanagar,20,29,3,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
BSc IT,Banking Operations Intern,Haryana Skill Development Mission,healthcare,bhiwani,20,25,3,0,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,short
B.Tech Civil,Hospital Administration Intern,Haryana Transport Department,energy,jind,21,23,6,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
BSc Biotechnology,Social Welfare Intern,Haryana Skill Development Mission,agriculture,rohtak,18,26,3,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Tech Civil,Hospital Administration Intern,Haryana Agriculture Department,legal & judiciary,bhiwani,20,28,3,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Tech Civil,Accounts Intern,Haryana Public Works Department,social welfare,panipat,19,27,6,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,medium
M.Ed,Electrical Maintenance Intern,Haryana Urban Local Bodies,social welfare,faridabad,21,27,4,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
B.Tech Electrical,Agriculture Field Intern,Haryana Agriculture Department,finance & accounts,kaithal,20,23,4,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
B.Tech Electrical,Data Analyst Intern,Haryana Agriculture Department,agriculture,panipat,21,27,2,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,short
BSc Nursing,Police Administration Intern,Haryana Public Works Department,education,ambala,18,29,4,20000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
B.Tech Electrical,Public Policy Intern,Haryana Transport Department,education,panipat,21,28,4,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,medium
BSc Nursing,Electrical Maintenance Intern,Haryana Police Department,social welfare,sonipat,18,27,4,20000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
LLM,Civil Site Intern,Haryana Women & Child Development,infrastructure,panipat,19,22,6,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
MCA,Agriculture Field Intern,Haryana Education Department,public administration,kaithal,19,27,2,12000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
BCA,Junior Mechanical Intern,Haryana Agriculture Department,energy,hisar,20,30,6,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Com,Hospital Administration Intern,Haryana Health Department,legal & judiciary,rohtak,20,26,1,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,very_short
LLM,Data Analyst Intern,Haryana Social Justice Department,legal & judiciary,chandigarh,20,30,3,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
B.Com,Public Policy Intern,District Administration Office,finance & accounts,yamunanagar,21,26,6,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
Diploma Mechanical,Accounts Intern,Haryana Agriculture Department,education,yamunanagar,20,23,2,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
B.Com,Accounts Intern,Haryana Revenue Department,finance & accounts,gurgaon,21,27,4,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
BA Political Science,Junior Mechanical Intern,Haryana Transport Department,finance & accounts,chandigarh,20,28,4,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,medium
LLB,Social Welfare Intern,Haryana Irrigation Department,social welfare,ambala,20,22,6,12000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
BSc IT,Legal Research Intern,Haryana Public Works Department,it & digital,jind,21,25,1,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,very_short
Diploma Mechanical,Hospital Administration Intern,District Administration Office,energy,sonipat,20,25,4,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
BSc Nursing,Banking Operations Intern,Haryana Renewable Energy Department,public administration,karnal,20,28,2,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,short
B.Com,Renewable Energy Intern,Haryana Irrigation Department,infrastructure,hisar,18,29,3,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
LLM,Accounts Intern,Haryana Revenue Department,social welfare,jind,20,28,4,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
BSc Agriculture,Accounts Intern,Haryana Agriculture Department,legal & judiciary,faridabad,19,24,1,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,very_short
Diploma Mechanical,Police Administration Intern,Haryana Women & Child Development,social welfare,gurgaon,20,22,6,20000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
BCA,Water Resource Management Intern,Haryana Health Department,finance & accounts,kaithal,21,24,6,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
ITI Welder,Civil Site Intern,Haryana Transport Department,social welfare,sonipat,21,26,6,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
LLB,Social Welfare Intern,Haryana Agriculture Department,education,panipat,19,24,4,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
MCA,Water Resource Management Intern,Haryana Skill Development Mission,energy,hisar,20,22,2,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
LLM,Agriculture Field Intern,Haryana Skill Development Mission,social welfare,rohtak,18,26,1,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
MBA,Water Resource Management Intern,Haryana Agriculture Department,energy,panipat,20,24,4,0,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,medium
Diploma Civil,Electrical Maintenance Intern,Haryana Health Department,healthcare,hisar,18,30,6,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
M.Ed,Hospital Administration Intern,Haryana Social Justice Department,legal & judiciary,bhiwani,21,29,6,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
BA Political Science,Accounts Intern,Haryana Public Works Department,public administration,rohtak,19,22,3,12000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
MBA,Digital Governance Intern,Haryana Public Works Department,public administration,bhiwani,19,30,6,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
B.Com,Transport Operations Intern,Haryana IT Department,social welfare,jind,19,25,2,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
B.Tech Civil,Civil Site Intern,Haryana Transport Department,energy,karnal,20,30,3,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
BSc Environmental Science,Accounts Intern,Haryana IT Department,healthcare,bhiwani,19,26,1,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,very_short
B.Tech Mechanical,Data Analyst Intern,Haryana Renewable Energy Department,agriculture,panipat,19,24,6,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,medium
B.Tech Civil,Banking Operations Intern,Haryana Agriculture Department,it & digital,rohtak,19,23,4,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,medium
B.Tech Mechanical,Data Analyst Intern,Haryana Women & Child Development,social welfare,rohtak,18,24,2,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
BSc IT,Accounts Intern,Haryana Transport Department,public administration,yamunanagar,18,28,4,20000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
MBA,Social Welfare Intern,Haryana Skill Development Mission,agriculture,yamunanagar,20,30,1,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
ITI Fitter,Renewable Energy Intern,Haryana Irrigation Department,agriculture,gurgaon,18,30,2,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
BSc IT,Urban Planning Intern,Haryana Women & Child Development,it & digital,jind,19,30,3,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
ITI Fitter,Social Welfare Intern,Haryana Social Justice Department,it & digital,sonipat,18,27,3,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
BSc Environmental Science,Hospital Administration Intern,Haryana Education Department,it & digital,hisar,20,30,3,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
Diploma Mechanical,Accounts Intern,Haryana Police Department,education,karnal,20,28,3,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
Diploma Mechanical,Water Resource Management Intern,Haryana Women & Child Development,agriculture,chandigarh,19,24,3,12000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
BA Political Science,Clinical Intern,Haryana Health Department,energy,faridabad,20,23,1,8000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
B.Tech Civil,Data Analyst Intern,Haryana Irrigation Department,education,faridabad,21,29,1,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
BSc Biotechnology,Public Policy Intern,Haryana Skill Development Mission,public administration,kaithal,19,26,3,12000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
MCA,Accounts Intern,Haryana Education Department,legal & judiciary,sonipat,20,23,1,12000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
B.Pharmacy,Legal Research Intern,Haryana Revenue Department,it & digital,chandigarh,20,23,2,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
BA Economics,Civil Site Intern,Haryana Skill Development Mission,legal & judiciary,sirsa,20,26,4,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
